I0731 07:30:33.909539       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:33.909563       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:33.909587       1 session.go:279] Open Session df8a5075-1897-4d47-8b6c-c084972fe3b0 with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:33.910112       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:33.910134       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:33.910204       1 session.go:577] Close Session df8a5075-1897-4d47-8b6c-c084972fe3b0
I0731 07:30:34.911045       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:34.911095       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:34.911119       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:34.911143       1 session.go:279] Open Session 91dac250-ef17-45db-8bfb-160ed5672417 with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:34.911666       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:34.911689       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:34.911758       1 session.go:577] Close Session 91dac250-ef17-45db-8bfb-160ed5672417
I0731 07:30:35.912739       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:35.912770       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:35.912789       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:35.912810       1 session.go:279] Open Session 0a14790f-5a7b-4dd3-a85b-fe6ac2f3e2ba with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:35.913173       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:35.913193       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:35.913249       1 session.go:577] Close Session 0a14790f-5a7b-4dd3-a85b-fe6ac2f3e2ba
I0731 07:30:36.914452       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:36.914500       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:36.914526       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:36.914551       1 session.go:279] Open Session 2646c49c-d0cf-4291-b7a0-5a93bd848886 with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:36.915057       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:36.915080       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:36.915154       1 session.go:577] Close Session 2646c49c-d0cf-4291-b7a0-5a93bd848886
I0731 07:30:37.916601       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:37.916645       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:37.916673       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
